business_id,categories
dUEMTG3vmo0AgzCMT0DxWA,"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"
I6QrXNBINXKNKJpaQupIPQ,"Cosmetic Dentists, General Dentistry, Dentists, Health & Medical, Periodontists"
jxNYTof2rSlqjxeWQMaGKw,"Health & Medical, General Dentistry, Dentists, Orthodontists, Cosmetic Dentists"
KRMBk3giXPKbt0YM4itGDg,"Health & Medical, Dentists, Orthodontists"
oCk7yGetz91PWVst9ZAvwQ,"General Dentistry, Periodontists, Health & Medical, Dentists, Cosmetic Dentists"
DUC4IaoxAVfnQrCTTh7fSw,"Orthodontists, Dentists, Pediatric Dentists, Health & Medical"
KSw88BmxV4p9XHOu0HgnAg,"Health & Medical, Dentists"
TImudqnbWBAQpyKimpZcMA,"Health & Medical, Dentists, Pediatric Dentists"
4uQdADj46OCiHxBl1HjEHw,"General Dentistry, Orthodontists, Dentists, Endodontists, Teeth Whitening, Health & Medical, Oral Surgeons, Beauty & Spas"
pC4MjGg8bV-eIUHRbe9WGQ,"General Dentistry, Dentists, Health & Medical"
fEwQPh71AxcHjnyKMznOFA,"General Dentistry, Dentists, Health & Medical"
ssbvut8dheDwi_ydpn1KNA,"Orthodontists, Dentists, Health & Medical"
ZMHLXxYJl3zT8aWoBJgd2w,"General Dentistry, Endodontists, Cosmetic Dentists, Pediatric Dentists, Health & Medical, Dentists"
DKisQLcNq7U5GV-Zo74yvA,"Orthodontists, Dentists, Oral Surgeons, Health & Medical, General Dentistry"
FFDVQsANWK0uOvUszVIu3Q,"General Dentistry, Health & Medical, Dentists"
PoMAlVNsiy2j3Hx8Jg-cWw,"Orthodontists, Pediatric Dentists, Health & Medical, Dentists"
JOLYEaRIbI4KKdbh1poCyQ,"Oral Surgeons, Orthodontists, Health & Medical, General Dentistry, Medical Centers, Dentists, Cosmetic Dentists"
P9gT0PMDa6eNamPIwBdqbA,"Dentists, Health & Medical, Endodontists, General Dentistry, Cosmetic Dentists"
_x5SoaqBTn3fYtEhkAvZ8g,"Health & Medical, Doctors, Dentists, Cosmetic Dentists, General Dentistry"
OguCd_XHlwh5gcs8XBLg7A,"General Dentistry, Dentists, Health & Medical"
LJOyeUuutxWbpuNGURbMtA,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"
Qh-osCxC4Vduo7QFXhuyfg,"Cosmetic Dentists, Orthodontists, Dentists, Health & Medical, General Dentistry"
X1yF0T4UqgCpnZ7T0FmuRA,"Dental Hygienists, Periodontists, Pediatric Dentists, Dentists, Health & Medical, Cosmetic Dentists, General Dentistry, Endodontists"
xatboulDuJGBK_255189hA,"Cosmetic Dentists, Periodontists, Teeth Whitening, Dentists, Health & Medical, Endodontists, Beauty & Spas, General Dentistry"
4mLeteMtS5HwXTgsxLGL5Q,"Dentists, Cosmetic Dentists, Health & Medical, Endodontists, General Dentistry"
PKPbRP_omcWmUE8vkFlKtQ,"Dentists, Health & Medical, General Dentistry"
Zmw9EpZuTq2yQjZ0cwwYAA,"Orthodontists, Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"
SpAhG1_YhcYULPvAGAwWeg,"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"
Q6lbWRSMi-98j332iUuw6A,"Health & Medical, Dentists, General Dentistry, Dental Hygienists"
-IM_8ZQ1uxXXr_ASII9k3g,"Health & Medical, Dentists, Orthodontists, Cosmetic Dentists, General Dentistry, Periodontists"
TqhQczdAePE0VFnpidHh0g,"Pediatric Dentists, Oral Surgeons, General Dentistry, Dentists, Health & Medical"
rJAT0A_hP7l91FT00kixwg,"Dentists, Health & Medical, Cosmetic Dentists"
ELxiPon1qYylk1TUdidpJA,"Mobile Dent Repair, Auto Repair, Automotive, Body Shops"
PcNoyeR7lyt3KbIyIICTuA,"Health & Medical, Dentists, Cosmetic Dentists, General Dentistry"
tMB_dSpCT65N9JhoBWZLNQ,"Health & Medical, Orthodontists, General Dentistry, Dentists, Cosmetic Dentists, Endodontists"
nj8dXXCqG1DEaTMrslnEzg,"Cosmetic Dentists, Orthodontists, General Dentistry, Dentists, Health & Medical, Oral Surgeons, Pediatric Dentists"
8iwXYxhBpPHSrskQ-dlrBw,"Dentists, Cosmetic Dentists, Pediatric Dentists, General Dentistry, Health & Medical, Orthodontists"
BQoxA0L22pkDlk_3v6NSDg,"Health & Medical, Dentists"
9XmdLONcRk1CT0lpVrW6sA,"Dentists, Health & Medical, Pediatric Dentists, General Dentistry, Cosmetic Dentists"
V6misQfdsUMx-fxeaSwXNA,"Pediatric Dentists, Dentists, Health & Medical, General Dentistry, Periodontists, Cosmetic Dentists"
IAIRxWiH-dW1GjNEl_uZUQ,"Cosmetic Dentists, Oral Surgeons, General Dentistry, Dentists, Health & Medical"
6pYMYYWJAcVlXGsuNQqHpg,"Health & Medical, General Dentistry, Endodontists, Cosmetic Dentists, Dentists"
-A6iU1EJdtDr-APcJlP3yg,"Cosmetic Dentists, Dentists, Pediatric Dentists, General Dentistry, Health & Medical"
2lA73JWUYeBEwe7qoAQWyw,"Dentists, Cosmetic Dentists, Teeth Whitening, Cosmetics & Beauty Supply, Shopping, Beauty & Spas, Health & Medical"
uRo5jQFMtN0V65snD9rbjA,"Health & Medical, Orthodontists, Dentists"
_VcZlT6hi5b7XD4jlZ6NIQ,"Pediatric Dentists, Dentists, Health & Medical, General Dentistry"
2Ib4m3BtCEMjghw7D8fFtQ,"Dentists, Health & Medical, General Dentistry"
HkyqOhjlOe0TOW-at73W7A,"Cosmetic Dentists, Dentists, General Dentistry, Health & Medical"
mH37UYUP1p9fr-NKZOjzvg,"Health & Medical, Pediatric Dentists, Dentists"
iVD0KaXjwhGv-nnkIQ-JuQ,"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"
2vF7oK2oV4ZW5hh_sKhpUQ,"Health & Medical, Dentists, General Dentistry"
yE2idQeF_NAnp-Rbor-ANQ,"Oral Surgeons, Health & Medical, Dentists, General Dentistry"
i6kfjMK9eKlX428wZLL7bw,"Dentists, Orthodontists, Health & Medical, General Dentistry"
YJG0ZJXlqi5hLQRrtr7r3g,"Health & Medical, Cosmetic Dentists, General Dentistry, Periodontists, Dentists, Endodontists"
TWBwBCuy0Ah4XfAQVj5MRA,"General Dentistry, Periodontists, Pediatric Dentists, Cosmetic Dentists, Endodontists, Health & Medical, Dentists"
aekQAlsH7DQIq2d-HZQXLA,"Dentists, Oral Surgeons, Periodontists, General Dentistry, Health & Medical"
kPX8Dn1M3rC-zEewOrnNXg,"Cosmetic Dentists, Health & Medical, Dentists, Orthodontists"
s9NZVgkcKyCrXHZPfp_nsw,"Dental Hygienists, Health & Medical, General Dentistry, Dentists"
AhS5SUBYdYtsVDJ5ZgpV0g,"Endodontists, Dentists, Health & Medical"
C8bHvICkSFPzLj375QemNw,"Health & Medical, Dentists, General Dentistry"
in2GMo7ju5EN5U0RcaAVBw,"General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"
cRMNvuxAvtbhcId_3vcqwA,"Pediatric Dentists, Dentists, Health & Medical"
ydpWJB-CovKjn0di4U-vSQ,"Cosmetic Dentists, Health & Medical, General Dentistry, Orthodontists, Dentists"
47mT4gCYbRjOpgVqTUc49w,"Health & Medical, Dentists, Cosmetic Dentists, Pediatric Dentists, General Dentistry"
v72RU1f-3PmHBsUsW0Pr3g,"Oral Surgeons, Orthodontists, General Dentistry, Dentists, Health & Medical"
DE9Jogt1cmmtGDEjOOdrnA,"Health & Medical, Dentists"
_ibgAcpsNbJOoJno97rG5g,"Health & Medical, Orthodontists, Dentists"
8Z0ioqnszXnQq5xWamJygA,"Orthodontists, Dentists, Health & Medical"
z7XuLXll87QuDjPO2QVMDg,"Dentists, Cosmetic Dentists, Health & Medical, General Dentistry, Pediatric Dentists"
KGwagjmXEp02AdbHaFRnzQ,"Health & Medical, Dentists, General Dentistry"
bVheGt4C_JHBW9gRSI0-LQ,"Dentists, Health & Medical, Dental Hygienists, Cosmetic Dentists, General Dentistry"
6cIXOFoQZhDxUgqxkrihhQ,"Health & Medical, Dentists, Orthodontists"
-TciPU2kqQzinL9umDg2Nw,"General Dentistry, Dentists, Endodontists, Pediatric Dentists, Health & Medical, Oral Surgeons, Cosmetic Dentists, Periodontists"
mfLYQarwTDV3mtsOLy_gsQ,"Periodontists, Cosmetic Dentists, Orthodontists, General Dentistry, Health & Medical, Dentists"
9K5v7vvCCiQ5KGRhFwBbCw,"Dentists, Orthodontists, Health & Medical"
jQrlQnJ9pOR57iiz8soSwA,"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical, Endodontists"
m_enCd9XLtDWMGSbxo0lgQ,"Dentists, Orthodontists, Health & Medical, General Dentistry"
ZmWdw83I3hufXJJ2wD6NgQ,"Cosmetic Dentists, Dentists, Orthodontists, Health & Medical, General Dentistry"
RquKvtV291SggD_ND2ILJA,"Oral Surgeons, Health & Medical, Dentists"
VgDfMyQB1QbcqGJyurzvgw,"Dentists, Periodontists, Cosmetic Dentists, General Dentistry, Health & Medical"
zFRYza4wZNbrrt2TPF-Uqg,"Dentists, Endodontists, General Dentistry, Health & Medical"
SWBigveqqZXX-YF1cnlFqw,"General Dentistry, Dentists, Health & Medical"
dy6m45D3ekx1eSRjkI6Anw,"Health & Medical, Dentists, Orthodontists"
n_8suHvITWk-1qLhNefmag,"Cosmetic Dentists, Medical Centers, Oral Surgeons, Dentists, General Dentistry, Health & Medical"
6tvuz4JEp2udF1ic8oxZpg,"Orthodontists, Oral Surgeons, Dentists, General Dentistry, Health & Medical"
24ASBsYjwEWEeHjocxF_Yw,"General Dentistry, Dentists, Orthodontists, Health & Medical, Cosmetic Dentists"
iVMF1DxHmzOCJtYa8hfqYA,"Health & Medical, Oral Surgeons, Cosmetic Dentists, Orthodontists, General Dentistry, Dentists"
GP7Vv24fdLJGzEqSgFTnsA,"Prosthodontists, Cosmetic Dentists, Dentists, Health & Medical"
i1nSa3FQfQgqVZP0iGEYqA,"Cosmetic Dentists, Health & Medical, Periodontists, Dentists, Oral Surgeons"
mLBFhXsXBRNAeZpnz0aqzQ,"Dentists, Oral Surgeons, Health & Medical"
Y6xFl0NkwkjoLff6UGu1NA,"Dentists, General Dentistry, Periodontists, Health & Medical"
3fTi3cxEnPCLSn-trfFVng,"Health & Medical, Orthodontists, Dentists"
lRg7jfcYXAciGmDSNKFJBA,"Dentists, Medical Centers, Urgent Care, General Dentistry, Health & Medical, Doctors"
8lNP73Txw2ZCGQ-Q1ogPpg,"Health & Medical, Dentists, Pediatric Dentists"
feKIF1ojvMhxplLpO2Hb4w,"Health & Medical, General Dentistry, Dentists"
BhYnGc3Zd-ITtUTzMOxIZw,"Dentists, Periodontists, Dental Hygienists, Health & Medical, General Dentistry"
Pq-26piakLfJymJc5ZHTQw,"Health & Medical, Dentists, Orthodontists, Oral Surgeons"
Njc-9JiaOu1EmRiOKCQ4Vg,"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"
daT5Yq5x2ci7dn2oHtsTkQ,"Dentists, Pediatric Dentists, General Dentistry, Health & Medical, Periodontists"
Vxwjn6R3eWx7imdPGKvBiA,"Health & Medical, Orthodontists, Dentists"
i4Ib_zLQEnpAa_eVI3SO1A,"Health & Medical, Cosmetic Dentists, General Dentistry, Orthodontists, Dentists"
5ewvPqDnOjd7K4TIf7e3VQ,"Health & Medical, Dental Hygienists, Dentists, Cosmetic Dentists, General Dentistry, Orthodontists"
kdnZ2ObhQghN0O8ZaQk-vQ,"Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists"
dhLoYoTM7_h5iXi61cbAYg,"Pediatric Dentists, Dentists, Orthodontists, General Dentistry, Health & Medical"
ZTBAsrRIyR1sJjQbjB-73g,"Periodontists, Cosmetic Dentists, Dentists, Health & Medical, General Dentistry, Endodontists"
NaLn5qKj7Y3QLQj879csRA,"Health & Medical, Cosmetic Dentists, General Dentistry, Dentists, Orthodontists, Periodontists, Pediatric Dentists"
mdpA_D1lwFFpgdXr1PtfpA,"Pediatric Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"
wv-AdPDhEGyodx6hIvr15g,"General Dentistry, Dentists, Health & Medical"
MyWENlEdMVBdaaama4d7pg,"Pediatric Dentists, Diagnostic Imaging, Health & Medical, Diagnostic Services, Dentists, Orthodontists, General Dentistry"
SWmMYnpRV1aq0aaDWPt4zw,"Dentists, Orthodontists, Health & Medical, Cosmetic Dentists"
_eXvlb7nQOfdIS9eb1t1gw,"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"
xpb8eVVK2kXRudcfp-yh1Q,"Health & Medical, Orthodontists, Dentists"
-AaP3LAwMldM3IDYbxoS9g,"Oral Surgeons, Cosmetic Dentists, Endodontists, Teeth Whitening, General Dentistry, Health & Medical, Dentists, Beauty & Spas"
85KnjZ8AXc1YRv0qb1VTDA,"Dentists, Health & Medical"
f7-VuUFb0FRP44KuQQ3ysw,"Dentists, General Dentistry, Health & Medical"
IZ0cpLg7wAgmiBuYSjcHdw,"Dentists, Health & Medical, General Dentistry"
tT5a_v2lm3cyWI_sAWTQRg,"Health & Medical, Doctors, Endodontists, Cosmetic Dentists, Dentists, Oral Surgeons, General Dentistry"
e1OCsZac-ZdJ6fRckxyI9w,"Dentists, Health & Medical, General Dentistry"
gMWmx_0qH5JWqDVPhPMs3A,"Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Endodontists"
FcOZ3yL1wRraI18NPsljew,"Endodontists, Health & Medical, Dentists"
hX27fk0DIFjbDiB9mdPnIg,"Dentists, Health & Medical, Cosmetic Dentists, General Dentistry, Oral Surgeons"
frbV__HRwkqifyWQJpEsJQ,"General Dentistry, Health & Medical, Dentists, Cosmetic Dentists"
wWLyM_8ipXXFh90R0Y4CUQ,"Dentists, Orthodontists, Cosmetic Dentists, Health & Medical, General Dentistry"
IpyUNDefY9SoynytY3WTtQ,"Cosmetic Dentists, Periodontists, General Dentistry, Endodontists, Health & Medical, Orthodontists, Dentists"
B4gPncqf6AQmn609_SiFgQ,"General Dentistry, Cosmetic Dentists, Periodontists, Dentists, Health & Medical, Orthodontists"
RBxjXB7TJ5REc-msNuN2YA,"General Dentistry, Oral Surgeons, Cosmetic Dentists, Dentists, Endodontists, Health & Medical, Orthodontists"
Mdaeu8ub8H0YW7zi_1Ox0Q,"Health & Medical, Dentists, General Dentistry"
Muvwt84VKxJtcCAfhyB0jQ,"Medical Centers, Cosmetic Dentists, Pediatric Dentists, General Dentistry, Oral Surgeons, Health & Medical, Dentists"
jkqSUjv8qTvTJQKOPeLxMA,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"
kZgrk1MvSmUOnznXLm7VAA,"Cosmetic Dentists, Health & Medical, Dentists, General Dentistry, Orthodontists"
wnW-cJYMl7FoEuXKSL0gTA,"Dentists, Health & Medical, General Dentistry"
3p4RKoGfk1CYXAQAt4vPpg,"General Dentistry, Health & Medical, Dental Hygienists, Dentists, Cosmetic Dentists, Endodontists"
gvDDNm3aT3UL-1WAifjxiQ,"Cosmetic Dentists, Periodontists, Oral Surgeons, Orthodontists, Dentists, Health & Medical"
0Hr7ouffQRik5ee6uCHDww,"Dentists, Health & Medical, General Dentistry"
8syxH94m3G7t6hsR01PK_A,"Dentists, Oral Surgeons, General Dentistry, Health & Medical, Endodontists"
hD2MtmnZ20q_PCpEMcwghA,"Health & Medical, General Dentistry, Cosmetic Dentists, Dentists"
lNFn72JQMpqXTxNPXCi40w,"Orthodontists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists"
m39j-tzsXQi2jqre6Og6sQ,"Health & Medical, General Dentistry, Cosmetic Dentists, Oral Surgeons, Dentists"
FUFrBIHOdFXTLzD3_JL1vQ,"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"
A_IRHFdrYzLJApZalxUBOA,"Dentists, Health & Medical"
QEX1Y8tZ7EyaN06XATQRlw,"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists"
HJTHIsTT5SXgLvkEo8UnoA,"Health & Medical, Oral Surgeons, Dentists, General Dentistry, Cosmetic Dentists"
O2FoydOv6imEFQujhYy7nQ,"Endodontists, Cosmetic Dentists, Dentists, General Dentistry, Health & Medical"
MgjzUply6s_f4UJPJTW3vA,"Dentists, Cosmetic Dentists, Health & Medical, General Dentistry"
vOhVtIcMV2BqIki4dSpsnQ,"Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Orthodontists, Dentists, Endodontists, Oral Surgeons"
0DDfkiF5FJ1ano57SHQD_Q,"Dentists, General Dentistry, Health & Medical"
11mQ8rlBU9353kqHJW-akg,"Oral Surgeons, General Dentistry, Dentists, Health & Medical, Cosmetic Dentists"
irTrNx2Z3hShhdXiD6O1gA,"Orthodontists, General Dentistry, Endodontists, Health & Medical, Cosmetic Dentists, Medical Centers, Dentists"
WpIAtRP-0X5E0cwAXJEXNQ,"Orthodontists, Cosmetic Dentists, Periodontists, Health & Medical, General Dentistry, Dentists"
eceMxN4648Ez6th5AWZxJQ,"Health & Medical, Cosmetic Dentists, General Dentistry, Periodontists, Dentists"
4TxeyGBRxdoy2590ArQ2cw,"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists, Endodontists"
dkXHjc0sBkPXB_1Kje8NkQ,"General Dentistry, Pediatric Dentists, Dentists, Health & Medical"
vjaPmraVVDx6f2Vv-ptuAw,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"
u7g756gamnofhMFOEc3_1w,"Dentists, Health & Medical, General Dentistry"
JW0kZbTvQQNZ-wD6KmFTwQ,"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists, Oral Surgeons"
pYMi77GHYH-Cy_hhUaRFXg,"Dentists, Health & Medical"
ZeL9aqJJh_I-kAO7a9pvQg,"Health & Medical, General Dentistry, Dentists"
DvzhDh9nsVfdgYU-9kqJdQ,"Pediatric Dentists, Orthodontists, Health & Medical, Dentists"
U3kKNfGwVFX0y4Cpha7X_A,"Health & Medical, General Dentistry, Dentists"
HOc0or4N5bA_36S8vmAMag,"General Dentistry, Dentists, Health & Medical"
880Sd5RZT0-V2sdJtofwaQ,"Cosmetic Dentists, Dentists, General Dentistry, Oral Surgeons, Health & Medical"
ecu6vyDE-ninSu3zp0kuhA,"Dental Hygienists, Health & Medical, Dentists, General Dentistry"
ZhVkwO9hmkPXo_JaXRD9fQ,"General Dentistry, Dentists, Health & Medical"
tTLwzfTdxVJ9ULmWfN9iBg,"General Dentistry, Dentists, Health & Medical"
scyzFE_1028TmYpOkB9OMg,"General Dentistry, Endodontists, Dentists, Health & Medical, Cosmetic Dentists"
pcPIlmtbzkR-njOQ_C52rg,"Dentists, Cosmetic Dentists, Orthodontists, General Dentistry, Pediatric Dentists, Health & Medical"
eTvP1TnXFI_P4ekuDiuhsA,"Dentists, Cosmetic Dentists, Periodontists, Health & Medical, General Dentistry, Orthodontists"
RU5QchDRz6FrTuqajIEglA,"Health & Medical, Dentists, General Dentistry"
vm6ZtGS9ZNwniXUeGjk5JQ,"Health & Medical, Dentists, General Dentistry"
NyLNMuhqs2DhT3c21byCRA,"Dentists, Pediatric Dentists, Oral Surgeons, Orthodontists, General Dentistry, Cosmetic Dentists, Health & Medical"
SaLl_Yai_hrPCGd5QU7kKg,"Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Dentists, Oral Surgeons"
pARuZsNO5VtGbiejYUt0Ug,"Dentists, Periodontists, Health & Medical, Cosmetic Dentists, General Dentistry"
MTfJNFG2dP1dX_yD1AgQAA,"Periodontists, Orthodontists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists, Dentists, Oral Surgeons"
fuEm_7Qtt12jbo7KgxuZmg,"Dentists, Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists"
2lEzcue-f67SMPSVPog3sA,"Orthodontists, Health & Medical, Dentists"
yEfkNV4IJ5pk2kwzShUDAw,"Health & Medical, Dentists, Pediatric Dentists"
