categories	business_id
"Orthodontists, Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"	Zmw9EpZuTq2yQjZ0cwwYAA
"Cosmetic Dentists, Dentists, Health & Medical, General Dentistry"	SpAhG1_YhcYULPvAGAwWeg
"Health & Medical, Dentists, General Dentistry, Dental Hygienists"	Q6lbWRSMi-98j332iUuw6A
"Health & Medical, Dentists, Orthodontists, Cosmetic Dentists, General Dentistry, Periodontists"	#NAME?
"Pediatric Dentists, Oral Surgeons, General Dentistry, Dentists, Health & Medical"	TqhQczdAePE0VFnpidHh0g
"Dentists, Health & Medical, Cosmetic Dentists"	rJAT0A_hP7l91FT00kixwg
"Mobile Dent Repair, Auto Repair, Automotive, Body Shops"	ELxiPon1qYylk1TUdidpJA
"Health & Medical, Dentists, Cosmetic Dentists, General Dentistry"	PcNoyeR7lyt3KbIyIICTuA
"Health & Medical, Orthodontists, General Dentistry, Dentists, Cosmetic Dentists, Endodontists"	tMB_dSpCT65N9JhoBWZLNQ
"Cosmetic Dentists, Orthodontists, General Dentistry, Dentists, Health & Medical, Oral Surgeons, Pediatric Dentists"	nj8dXXCqG1DEaTMrslnEzg
"Dentists, Cosmetic Dentists, Pediatric Dentists, General Dentistry, Health & Medical, Orthodontists"	8iwXYxhBpPHSrskQ-dlrBw
"Health & Medical, Dentists"	BQoxA0L22pkDlk_3v6NSDg
"Dentists, Health & Medical, Pediatric Dentists, General Dentistry, Cosmetic Dentists"	9XmdLONcRk1CT0lpVrW6sA
"Pediatric Dentists, Dentists, Health & Medical, General Dentistry, Periodontists, Cosmetic Dentists"	V6misQfdsUMx-fxeaSwXNA
"Cosmetic Dentists, Oral Surgeons, General Dentistry, Dentists, Health & Medical"	IAIRxWiH-dW1GjNEl_uZUQ
"Health & Medical, General Dentistry, Endodontists, Cosmetic Dentists, Dentists"	6pYMYYWJAcVlXGsuNQqHpg
"Cosmetic Dentists, Dentists, Pediatric Dentists, General Dentistry, Health & Medical"	#NAME?
"Dentists, Cosmetic Dentists, Teeth Whitening, Cosmetics & Beauty Supply, Shopping, Beauty & Spas, Health & Medical"	2lA73JWUYeBEwe7qoAQWyw
"Health & Medical, Orthodontists, Dentists"	uRo5jQFMtN0V65snD9rbjA
"Pediatric Dentists, Dentists, Health & Medical, General Dentistry"	_VcZlT6hi5b7XD4jlZ6NIQ
"Dentists, Health & Medical, General Dentistry"	2Ib4m3BtCEMjghw7D8fFtQ
"Cosmetic Dentists, Dentists, General Dentistry, Health & Medical"	HkyqOhjlOe0TOW-at73W7A
"Health & Medical, Pediatric Dentists, Dentists"	mH37UYUP1p9fr-NKZOjzvg
"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"	iVD0KaXjwhGv-nnkIQ-JuQ
"Health & Medical, Dentists, General Dentistry"	2vF7oK2oV4ZW5hh_sKhpUQ
"Oral Surgeons, Health & Medical, Dentists, General Dentistry"	yE2idQeF_NAnp-Rbor-ANQ
"Dentists, Orthodontists, Health & Medical, General Dentistry"	i6kfjMK9eKlX428wZLL7bw
"Health & Medical, Cosmetic Dentists, General Dentistry, Periodontists, Dentists, Endodontists"	YJG0ZJXlqi5hLQRrtr7r3g
"General Dentistry, Periodontists, Pediatric Dentists, Cosmetic Dentists, Endodontists, Health & Medical, Dentists"	TWBwBCuy0Ah4XfAQVj5MRA
"Dentists, Oral Surgeons, Periodontists, General Dentistry, Health & Medical"	aekQAlsH7DQIq2d-HZQXLA
"Cosmetic Dentists, Health & Medical, Dentists, Orthodontists"	kPX8Dn1M3rC-zEewOrnNXg
"Dental Hygienists, Health & Medical, General Dentistry, Dentists"	s9NZVgkcKyCrXHZPfp_nsw
"Endodontists, Dentists, Health & Medical"	AhS5SUBYdYtsVDJ5ZgpV0g
"Health & Medical, Dentists, General Dentistry"	C8bHvICkSFPzLj375QemNw
"General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"	in2GMo7ju5EN5U0RcaAVBw
"Pediatric Dentists, Dentists, Health & Medical"	cRMNvuxAvtbhcId_3vcqwA
"Cosmetic Dentists, Health & Medical, General Dentistry, Orthodontists, Dentists"	ydpWJB-CovKjn0di4U-vSQ
"Health & Medical, Dentists, Cosmetic Dentists, Pediatric Dentists, General Dentistry"	47mT4gCYbRjOpgVqTUc49w
"Oral Surgeons, Orthodontists, General Dentistry, Dentists, Health & Medical"	v72RU1f-3PmHBsUsW0Pr3g
"Health & Medical, Dentists"	DE9Jogt1cmmtGDEjOOdrnA
"Health & Medical, Orthodontists, Dentists"	_ibgAcpsNbJOoJno97rG5g
"Orthodontists, Dentists, Health & Medical"	8Z0ioqnszXnQq5xWamJygA
"Dentists, Cosmetic Dentists, Health & Medical, General Dentistry, Pediatric Dentists"	z7XuLXll87QuDjPO2QVMDg
"Health & Medical, Dentists, General Dentistry"	KGwagjmXEp02AdbHaFRnzQ
"Dentists, Health & Medical, Dental Hygienists, Cosmetic Dentists, General Dentistry"	bVheGt4C_JHBW9gRSI0-LQ
"Health & Medical, Dentists, Orthodontists"	6cIXOFoQZhDxUgqxkrihhQ
"General Dentistry, Dentists, Endodontists, Pediatric Dentists, Health & Medical, Oral Surgeons, Cosmetic Dentists, Periodontists"	#NAME?
"Periodontists, Cosmetic Dentists, Orthodontists, General Dentistry, Health & Medical, Dentists"	mfLYQarwTDV3mtsOLy_gsQ
"Dentists, Orthodontists, Health & Medical"	9K5v7vvCCiQ5KGRhFwBbCw
"General Dentistry, Dentists, Cosmetic Dentists, Health & Medical, Endodontists"	jQrlQnJ9pOR57iiz8soSwA
"Dentists, Orthodontists, Health & Medical, General Dentistry"	m_enCd9XLtDWMGSbxo0lgQ
"Cosmetic Dentists, Dentists, Orthodontists, Health & Medical, General Dentistry"	ZmWdw83I3hufXJJ2wD6NgQ
"Oral Surgeons, Health & Medical, Dentists"	RquKvtV291SggD_ND2ILJA
"Dentists, Periodontists, Cosmetic Dentists, General Dentistry, Health & Medical"	VgDfMyQB1QbcqGJyurzvgw
"Dentists, Endodontists, General Dentistry, Health & Medical"	zFRYza4wZNbrrt2TPF-Uqg
"General Dentistry, Dentists, Health & Medical"	SWBigveqqZXX-YF1cnlFqw
"Health & Medical, Dentists, Orthodontists"	dy6m45D3ekx1eSRjkI6Anw
"Cosmetic Dentists, Medical Centers, Oral Surgeons, Dentists, General Dentistry, Health & Medical"	n_8suHvITWk-1qLhNefmag
"Orthodontists, Oral Surgeons, Dentists, General Dentistry, Health & Medical"	6tvuz4JEp2udF1ic8oxZpg
"General Dentistry, Dentists, Orthodontists, Health & Medical, Cosmetic Dentists"	24ASBsYjwEWEeHjocxF_Yw
"Health & Medical, Oral Surgeons, Cosmetic Dentists, Orthodontists, General Dentistry, Dentists"	iVMF1DxHmzOCJtYa8hfqYA
"Prosthodontists, Cosmetic Dentists, Dentists, Health & Medical"	GP7Vv24fdLJGzEqSgFTnsA
"Cosmetic Dentists, Health & Medical, Periodontists, Dentists, Oral Surgeons"	i1nSa3FQfQgqVZP0iGEYqA
"Dentists, Oral Surgeons, Health & Medical"	mLBFhXsXBRNAeZpnz0aqzQ
"Dentists, General Dentistry, Periodontists, Health & Medical"	Y6xFl0NkwkjoLff6UGu1NA
"Health & Medical, Orthodontists, Dentists"	3fTi3cxEnPCLSn-trfFVng
"Dentists, Medical Centers, Urgent Care, General Dentistry, Health & Medical, Doctors"	lRg7jfcYXAciGmDSNKFJBA
"Health & Medical, Dentists, Pediatric Dentists"	8lNP73Txw2ZCGQ-Q1ogPpg
"Health & Medical, General Dentistry, Dentists"	feKIF1ojvMhxplLpO2Hb4w
"Dentists, Periodontists, Dental Hygienists, Health & Medical, General Dentistry"	BhYnGc3Zd-ITtUTzMOxIZw
"Health & Medical, Dentists, Orthodontists, Oral Surgeons"	Pq-26piakLfJymJc5ZHTQw
"Dentists, Cosmetic Dentists, General Dentistry, Health & Medical"	Njc-9JiaOu1EmRiOKCQ4Vg
"Dentists, Pediatric Dentists, General Dentistry, Health & Medical, Periodontists"	daT5Yq5x2ci7dn2oHtsTkQ
"Health & Medical, Orthodontists, Dentists"	Vxwjn6R3eWx7imdPGKvBiA
"Health & Medical, Cosmetic Dentists, General Dentistry, Orthodontists, Dentists"	i4Ib_zLQEnpAa_eVI3SO1A
"Health & Medical, Dental Hygienists, Dentists, Cosmetic Dentists, General Dentistry, Orthodontists"	5ewvPqDnOjd7K4TIf7e3VQ
"Health & Medical, General Dentistry, Pediatric Dentists, Cosmetic Dentists, Dentists"	kdnZ2ObhQghN0O8ZaQk-vQ
"Pediatric Dentists, Dentists, Orthodontists, General Dentistry, Health & Medical"	dhLoYoTM7_h5iXi61cbAYg
"Periodontists, Cosmetic Dentists, Dentists, Health & Medical, General Dentistry, Endodontists"	ZTBAsrRIyR1sJjQbjB-73g
"Health & Medical, Cosmetic Dentists, General Dentistry, Dentists, Orthodontists, Periodontists, Pediatric Dentists"	NaLn5qKj7Y3QLQj879csRA
"Pediatric Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Dentists"	mdpA_D1lwFFpgdXr1PtfpA
"General Dentistry, Dentists, Health & Medical"	wv-AdPDhEGyodx6hIvr15g
"Pediatric Dentists, Diagnostic Imaging, Health & Medical, Diagnostic Services, Dentists, Orthodontists, General Dentistry"	MyWENlEdMVBdaaama4d7pg
"Dentists, Orthodontists, Health & Medical, Cosmetic Dentists"	SWmMYnpRV1aq0aaDWPt4zw
"Dentists, General Dentistry, Health & Medical, Cosmetic Dentists"	_eXvlb7nQOfdIS9eb1t1gw
"Health & Medical, Orthodontists, Dentists"	xpb8eVVK2kXRudcfp-yh1Q
"Oral Surgeons, Cosmetic Dentists, Endodontists, Teeth Whitening, General Dentistry, Health & Medical, Dentists, Beauty & Spas"	#NAME?
"Dentists, Health & Medical"	85KnjZ8AXc1YRv0qb1VTDA
"Dentists, General Dentistry, Health & Medical"	f7-VuUFb0FRP44KuQQ3ysw
"Dentists, Health & Medical, General Dentistry"	IZ0cpLg7wAgmiBuYSjcHdw
"Health & Medical, Doctors, Endodontists, Cosmetic Dentists, Dentists, Oral Surgeons, General Dentistry"	tT5a_v2lm3cyWI_sAWTQRg
"Dentists, Health & Medical, General Dentistry"	e1OCsZac-ZdJ6fRckxyI9w
"Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Endodontists"	gMWmx_0qH5JWqDVPhPMs3A
"Endodontists, Health & Medical, Dentists"	FcOZ3yL1wRraI18NPsljew
"Dentists, Health & Medical, Cosmetic Dentists, General Dentistry, Oral Surgeons"	hX27fk0DIFjbDiB9mdPnIg
"General Dentistry, Health & Medical, Dentists, Cosmetic Dentists"	frbV__HRwkqifyWQJpEsJQ
"Dentists, Orthodontists, Cosmetic Dentists, Health & Medical, General Dentistry"	wWLyM_8ipXXFh90R0Y4CUQ
"Cosmetic Dentists, Periodontists, General Dentistry, Endodontists, Health & Medical, Orthodontists, Dentists"	IpyUNDefY9SoynytY3WTtQ
"General Dentistry, Cosmetic Dentists, Periodontists, Dentists, Health & Medical, Orthodontists"	B4gPncqf6AQmn609_SiFgQ
"General Dentistry, Oral Surgeons, Cosmetic Dentists, Dentists, Endodontists, Health & Medical, Orthodontists"	RBxjXB7TJ5REc-msNuN2YA
"Health & Medical, Dentists, General Dentistry"	Mdaeu8ub8H0YW7zi_1Ox0Q
"Medical Centers, Cosmetic Dentists, Pediatric Dentists, General Dentistry, Oral Surgeons, Health & Medical, Dentists"	Muvwt84VKxJtcCAfhyB0jQ
"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"	jkqSUjv8qTvTJQKOPeLxMA
"Cosmetic Dentists, Health & Medical, Dentists, General Dentistry, Orthodontists"	kZgrk1MvSmUOnznXLm7VAA
"Dentists, Health & Medical, General Dentistry"	wnW-cJYMl7FoEuXKSL0gTA
"General Dentistry, Health & Medical, Dental Hygienists, Dentists, Cosmetic Dentists, Endodontists"	3p4RKoGfk1CYXAQAt4vPpg
"Cosmetic Dentists, Periodontists, Oral Surgeons, Orthodontists, Dentists, Health & Medical"	gvDDNm3aT3UL-1WAifjxiQ
"Dentists, Health & Medical, General Dentistry"	0Hr7ouffQRik5ee6uCHDww
"Dentists, Oral Surgeons, General Dentistry, Health & Medical, Endodontists"	8syxH94m3G7t6hsR01PK_A
"Health & Medical, General Dentistry, Cosmetic Dentists, Dentists"	hD2MtmnZ20q_PCpEMcwghA
"Orthodontists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists"	lNFn72JQMpqXTxNPXCi40w
"Health & Medical, General Dentistry, Cosmetic Dentists, Oral Surgeons, Dentists"	m39j-tzsXQi2jqre6Og6sQ
"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists"	FUFrBIHOdFXTLzD3_JL1vQ
"Dentists, Health & Medical"	A_IRHFdrYzLJApZalxUBOA
"General Dentistry, Cosmetic Dentists, Health & Medical, Dentists"	QEX1Y8tZ7EyaN06XATQRlw
"Health & Medical, Oral Surgeons, Dentists, General Dentistry, Cosmetic Dentists"	HJTHIsTT5SXgLvkEo8UnoA
"Endodontists, Cosmetic Dentists, Dentists, General Dentistry, Health & Medical"	O2FoydOv6imEFQujhYy7nQ
"Dentists, Cosmetic Dentists, Health & Medical, General Dentistry"	MgjzUply6s_f4UJPJTW3vA
"Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Orthodontists, Dentists, Endodontists, Oral Surgeons"	vOhVtIcMV2BqIki4dSpsnQ
"Dentists, General Dentistry, Health & Medical"	0DDfkiF5FJ1ano57SHQD_Q
"Oral Surgeons, General Dentistry, Dentists, Health & Medical, Cosmetic Dentists"	11mQ8rlBU9353kqHJW-akg
"Orthodontists, General Dentistry, Endodontists, Health & Medical, Cosmetic Dentists, Medical Centers, Dentists"	irTrNx2Z3hShhdXiD6O1gA
"Orthodontists, Cosmetic Dentists, Periodontists, Health & Medical, General Dentistry, Dentists"	WpIAtRP-0X5E0cwAXJEXNQ
"Health & Medical, Cosmetic Dentists, General Dentistry, Periodontists, Dentists"	eceMxN4648Ez6th5AWZxJQ
"Health & Medical, Dentists, General Dentistry, Cosmetic Dentists, Endodontists"	4TxeyGBRxdoy2590ArQ2cw
"General Dentistry, Pediatric Dentists, Dentists, Health & Medical"	dkXHjc0sBkPXB_1Kje8NkQ
"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists"	vjaPmraVVDx6f2Vv-ptuAw
"Dentists, Health & Medical, General Dentistry"	u7g756gamnofhMFOEc3_1w
"Cosmetic Dentists, Health & Medical, General Dentistry, Dentists, Oral Surgeons"	JW0kZbTvQQNZ-wD6KmFTwQ
"Dentists, Health & Medical"	pYMi77GHYH-Cy_hhUaRFXg
"Health & Medical, General Dentistry, Dentists"	ZeL9aqJJh_I-kAO7a9pvQg
"Pediatric Dentists, Orthodontists, Health & Medical, Dentists"	DvzhDh9nsVfdgYU-9kqJdQ
"Health & Medical, General Dentistry, Dentists"	U3kKNfGwVFX0y4Cpha7X_A
"General Dentistry, Dentists, Health & Medical"	HOc0or4N5bA_36S8vmAMag
"Cosmetic Dentists, Dentists, General Dentistry, Oral Surgeons, Health & Medical"	880Sd5RZT0-V2sdJtofwaQ
"Dental Hygienists, Health & Medical, Dentists, General Dentistry"	ecu6vyDE-ninSu3zp0kuhA
"General Dentistry, Dentists, Health & Medical"	ZhVkwO9hmkPXo_JaXRD9fQ
"General Dentistry, Dentists, Health & Medical"	tTLwzfTdxVJ9ULmWfN9iBg
"General Dentistry, Endodontists, Dentists, Health & Medical, Cosmetic Dentists"	scyzFE_1028TmYpOkB9OMg
"Dentists, Cosmetic Dentists, Orthodontists, General Dentistry, Pediatric Dentists, Health & Medical"	pcPIlmtbzkR-njOQ_C52rg
"Dentists, Cosmetic Dentists, Periodontists, Health & Medical, General Dentistry, Orthodontists"	eTvP1TnXFI_P4ekuDiuhsA
"Health & Medical, Dentists, General Dentistry"	RU5QchDRz6FrTuqajIEglA
"Health & Medical, Dentists, General Dentistry"	vm6ZtGS9ZNwniXUeGjk5JQ
"Dentists, Pediatric Dentists, Oral Surgeons, Orthodontists, General Dentistry, Cosmetic Dentists, Health & Medical"	NyLNMuhqs2DhT3c21byCRA
"Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists, Dentists, Oral Surgeons"	SaLl_Yai_hrPCGd5QU7kKg
"Dentists, Periodontists, Health & Medical, Cosmetic Dentists, General Dentistry"	pARuZsNO5VtGbiejYUt0Ug
"Periodontists, Orthodontists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists, Dentists, Oral Surgeons"	MTfJNFG2dP1dX_yD1AgQAA
"Dentists, Pediatric Dentists, Health & Medical, General Dentistry, Cosmetic Dentists"	fuEm_7Qtt12jbo7KgxuZmg
"Orthodontists, Health & Medical, Dentists"	2lEzcue-f67SMPSVPog3sA
"Health & Medical, Dentists, Pediatric Dentists"	yEfkNV4IJ5pk2kwzShUDAw
"Dentists, Oral Surgeons, Health & Medical, Orthodontists, Cosmetic Dentists, General Dentistry"	WllBAxQd6w3EZHYNOKRoMw
"Health & Medical, General Dentistry, Dentists"	qrof0W4zWkx4JbArLTyrzg
