restaurantId,foodname,price,food type
640090,Oven-Grilled Peanuts & Pigeon,20.13,Chinese
781514,Stir-Fried Western-Style Frog,28.88,Indian&Mexican
286749,Steamed Stew of Herring,16.79,Vitenamese
420025,Stewed Mustard Potato Wedges,28.47,American Chinese
433657,Thermal-Cooked Ginger Bread,20.52,Korean
801989,Plum and Milk Chocolate Delight,21.84,Japanese
742833,Walnut and Honey Tarte Tatin,27.14,Mexican
703269,Gooseberry Doughnut,24.14,American
620653,Cinnamon Whip,22.48,Chinese
838567,Pressure-Fried Pine Mutton,29.34,Indian&Mexican
241167,Shallow-Fried Sweet & Spicy Rabbit,20.49,Vitenamese
590509,Gentle-Fried Potatoes & Clams,14.13,American Chinese
978476,Slow-Cooked Peach & Vinegar Cod,24.82,Korean
841460,Stir-Fried Mushroom & Rosemary Chutney,28.99,Japanese
246088,Broasted Fennel & Lime Pasta,10.65,Mexican
885743,Blueberry and Mint Fruit Salad,27.39,American
767709,Grape and Gooseberry Cookies,15.13,Chinese
822832,Cocoa Crispies,28.10,Indian&Mexican
667650,Gooseberry Pancakes,27.19,Vitenamese
782355,Deep-Fried Dark Beer Beef,10.11,American Chinese
365731,Simmered Sweet & Spicy Bear,18.23,Korean
280683,Braised Tomatoes & Shrimps,17.19,Japanese
554595,Smoked Sweet & Spicy Alligator,24.45,Mexican
496708,Smoked Thyme & Parsley Moussaka,25.19,American
200199,Cured Fennel & Garlic Bread,13.03,Chinese
817897,White Chocolate and Banana Milk,11.17,Indian&Mexican
426859,Chocolate and Raspberry Yogurt,18.46,Vitenamese
266170,Pecan Waffles,25.42,American Chinese
306715,Cashew Whip,22.03,Korean
262541,Poached Lime & Ginger Yak,11.87,Japanese
164628,Cured Honey & Thyme Ostrich,19.09,Mexican
988493,Dried Sweet & Fresh Crocodile,10.84,American
961868,Fried Cucumber & Lime Prawns,28.97,Chinese
851290,Dried Easter-Style Lasagna,28.24,Indian&Mexican
773681,Marinated Mushroom Roll,23.82,Vitenamese
155062,Passion Fruit and Elderberry Ice Cream,15.58,American Chinese
698769,Chestnut and Honey Pie,28.30,Korean
501954,Honey Toffee,21.82,Japanese
369191,Strawberry Pud,23.62,Mexican
438073,Sautéed Red Whine Boar,25.88,American
263059,Slow-Cooked Mushroom & Rosemary Ostrich,29.93,Chinese
825195,Infused Paprika Snapper,17.76,Indian&Mexican
874049,Brined Dark Ale Frog,25.17,Vitenamese
183923,Gentle-Fried Apricots & Honey Pizza,17.77,American Chinese
953599,Baked Coriander & Lemon Walnuts,29.71,Korean
905585,Mint and Cashew Custard,24.34,Japanese
605112,Rum and Pecan Pie,29.89,Mexican
315283,Grapefruit Waffles,22.08,American
106761,Mango Strudel,23.90,Chinese
305563,Oven-Grilled Garlic & Onion Bear,23.81,Indian&Mexican
875157,Blanched Creamy Ostrich,24.73,Vitenamese
733144,Cured Souther-Style Fish,27.65,American Chinese
499048,Breaded Walnuts & Scallops,10.06,Korean
644299,Breaded Fennel & Lemon Rice,29.60,Japanese
296218,Fried Sour Risotto,17.82,Mexican
576743,Orange and Licorice Cheesecake,18.61,American
129450,White Wine and Licorice Pound Cake,24.29,Chinese
875792,Melon Bread,21.84,Indian&Mexican
295290,Rum Sundae,28.26,Vitenamese
720606,Basted Yogurt Boar,13.81,American Chinese
196463,Simmered Raspberry & Peanut Venison,22.67,Korean
460355,Pressure-Cooked Creamy Crocodile,17.02,Japanese
418299,Seared Apples & Mustard Prawns,25.75,Mexican
271077,Engine-Cooked Creamy Risotto,13.10,American
712500,Oven-Baked Basil & Clove Winter Vegetables,22.26,Chinese
701724,Rum and Grapefruit Pudding,11.18,Indian&Mexican
223965,Pecan and White Chocolate Fruitcake,29.13,Vitenamese
386497,Walnut Cone,21.95,American Chinese
501823,Cranberry Jelly,23.84,Korean
709591,Blanched Fennel & Lemon Pheasant,28.06,Japanese
868495,Roasted Cinnamon Horse,19.58,Mexican
836194,Broasted Saffron Clams,13.14,American
201781,Simmered Vegetables & Lobster,24.15,Chinese
383626,Poached Peanuts & Stracciatella,17.72,Indian&Mexican
399207,Pan-Fried Raspberry & Peanut Bisque,17.27,Vitenamese
706450,Mint and Pecan Snacks,20.01,American Chinese
316146,Coconut and Lime Buns,25.84,Korean
725764,Cashew Toffee,17.65,Japanese
739222,Dark Chocolate Molten Cake,13.02,Mexican
616099,Basted Mint & Mustard Yak,20.47,American
387891,Barbecued Sweet & Spicy Pork,19.61,Chinese
644869,Engine-Cooked Fennel & Orange Lobster,20.77,Indian&Mexican
427683,Stewed Apricot & Basil Shrimps,25.25,Vitenamese
785995,Cured Basil & Mint Bake,12.94,American Chinese
758153,Pressure-Cooked Chestnuts & Pasta,26.83,Korean
886100,Banana and Passion Fruit Pound Cake,11.63,Japanese
314529,Cinnamon and Coconut Cookies,10.15,Mexican
261744,Nutmeg Tarte Tatin,29.57,American
552919,Vanilla Cobbler,19.86,Chinese
244673,Braised Lime-Coated Boar,29.94,Indian&Mexican
711319,Baked Blueberry Ostrich,11.37,Vitenamese
648071,Seared Hot & Sweet Tuna,24.50,American Chinese
862166,Oven-Baked Tomatoes & Scallops,24.84,Korean
872609,Deep-Fried Mustard & Thyme Gratin,16.22,Japanese
318622,Baked Confit of Minestrone,16.60,Mexican
272437,Coffee and Mango Tarte Tatin,19.49,American
501841,Grapefruit and Ginger Pie,29.89,Chinese
815872,Coconut Delight,18.67,Indian&Mexican
278338,Cranberry Pancakes,16.46,Vitenamese
888448,Fire-Grilled Sweet & Fresh Ostrich,15.30,American Chinese
684978,Cooked Sour & Cream Yak,17.17,Korean
117194,Stir-Fried Confit of Fish,21.16,Japanese
597237,Breaded Fennel & Orange Herring,13.02,Mexican
992027,Engine-Cooked Truffles & Salad,21.76,American
540434,Barbecued Chestnuts & Forest Mushrooms,12.77,Chinese
862769,Saffron and Praline Cake,16.22,Indian&Mexican
568984,Blueberry and Mint Crumble,13.21,Vitenamese
569756,Cocoa Custard,26.12,American Chinese
692211,Cardamom Crumble,14.32,Korean
864297,Simmered Pasta & Quail,16.42,Japanese
993172,Dry-Roasted Salt & Savory Turkey,22.80,Mexican
800790,Poached Pepper & Garlic Crab,24.56,American
147992,Dried Vegetables & Shrimps,13.09,Chinese
304359,Simmered Onions & Tomato Chutney,29.35,Indian&Mexican
980334,Infused Garlic Winter Greens,16.81,Vitenamese
140437,Peach and Coconut Yogurt,25.60,American Chinese
976068,Apple and Hazelnut Pudding,28.11,Korean
861569,Caramel Candy,11.29,Japanese
778043,Ginger Toffee,28.47,Mexican
859534,Slow-Cooked Onions & Tomato Pheasant,15.63,American
475982,Dry-Roasted Soy Venison,11.95,Chinese
100338,Oven-Baked Mushroom & Rosemary Cod,28.83,Indian&Mexican
575005,Stewed Northern-Style Frog,24.52,Vitenamese
888939,Fire-Grilled Blueberry & Mushroom Minestrone,17.42,American Chinese
349033,Stir-Fried Pine Chutney,29.02,Korean
406839,Date and Grape Toffee,22.02,Japanese
632696,Grape and Red Wine Fudge,28.81,Mexican
842902,Vanilla Toffee,23.45,American
354135,Dark Chocolate Tart,20.15,Chinese
831834,Tenderized Basil & Lime Yak,15.13,Indian&Mexican
981436,Basted Garlic & Onion Horse,22.69,Vitenamese
484896,Smoked Peas & Mushroom Scallops,24.33,American Chinese
970570,Thermal-Cooked Lime & Ginger Prawns,22.58,Korean
247322,Grilled Creamy Bread,17.50,Japanese
337432,Fire-Roasted Oregano Rice,12.15,Mexican
916995,Nutmeg and Pineapple Doughnut,11.67,American
210920,Mandarin and Milk Chocolate Fudge,14.88,Chinese
889038,Strawberry Gingerbread,18.14,Indian&Mexican
559084,Cherry Soufflé,28.38,Vitenamese
138687,Sautéed Carrot & Coriander Venison,16.23,American Chinese
861004,Deep-Fried White Wine Pigeon,23.45,Korean
453785,Pressure-Fried Ginger Salmon,29.29,Japanese
624356,Tenderized Black Pepper Salmon,12.56,Mexican
982397,Barbecued Truffles & Spring Greens,27.42,American
667165,Brined Egg & Coconut Linguine,29.55,Chinese
156647,Pecan and Coffee Toast,25.64,Indian&Mexican
706953,Grape and Walnut Fruitcake,29.62,Vitenamese
835088,Peach Soufflé,21.05,American Chinese
598164,Papaya Delight,14.36,Korean
142195,Fire-Grilled Dark Beer Mammoth,19.71,Japanese
381316,Marinated Lime-Coated Ostrich,14.70,Mexican
837753,Pan-Fried Garlic & Rosemary Cockles,27.84,American
633308,Baked Oregano Prawns,19.97,Chinese
998943,Simmered Fennel & Lime Calzone,27.22,Indian&Mexican
713439,Oven-Grilled Hot & Sweet Forest Mushrooms,20.95,Vitenamese
526063,Walnut and Lemon Bread,25.51,American Chinese
490652,Cardamom and Mint Doughnut,16.85,Korean
353076,Pistachio Roll,16.65,Japanese
325928,Lemon Pie,21.49,Mexican
797855,Oven-Baked Peanuts & Boar,27.71,American
836236,Barbecued Salted Venison,10.31,Chinese
626642,Pan-Fried Mushroom & Rosemary Clams,20.36,Indian&Mexican
402795,Cured Cinnamon Mussels,12.14,Vitenamese
924702,Oven-Baked Garlic & Ginger Spring Vegetables,27.70,American Chinese
834599,Broasted Confit of Salad,24.42,Korean
886768,Honey and Strawberry Jam,17.28,Japanese
218787,Cherry and Pistachio Crispies,16.29,Mexican
138337,Date Whip,14.49,American
578747,Praline Ice Lollies,24.32,Chinese
101004,Breaded Egg & Beans Pheasant,28.44,Indian&Mexican
898395,Stir-Fried Stew of Beef,10.57,Vitenamese
247871,Fried Light Ale Crab,15.42,American Chinese
270798,Sautéed Saffron & Shallot Clams,24.98,Korean
310918,Pressure-Fried Forest Roll,22.58,Japanese
196166,Breaded White Wine Walnuts,21.74,Mexican
281157,White Wine and Hazelnut Gingerbread,14.38,American
329799,Hazelnut and Pineapple Fruit Salad,18.10,Chinese
177893,Cherry Molten Cake,20.39,Indian&Mexican
603325,Mint Surprise,16.82,Vitenamese
886721,Smoked Peach & Vinegar Turkey,10.98,American Chinese
902588,Grilled Basil & Clove Lamb,27.10,Korean
266340,Breaded Peppermint Salmon,19.58,Japanese
839486,Stir-Fried Sweet & Spicy Cockles,15.94,Mexican
627406,Stir-Fried Easter-Style Spring Vegetables,16.64,American
166554,Grilled Mushroom Potatoes,23.09,Chinese
373497,Apple and Coconut Crispies,25.28,Indian&Mexican
570290,Pecan and Cinnamon Pound Cake,15.46,Vitenamese
537430,Milk Chocolate Yogurt,15.79,American Chinese
440203,Avocado Wafer,11.98,Korean
602736,Pickled Honey & Thyme Beef,11.16,Japanese
378326,Thermal-Cooked Salt & Savory Rabbit,26.77,Mexican
392414,Stir-Fried Souther-Style Frog,14.84,American
704357,Breaded Fennel & Lemon Snapper,22.39,Chinese
867147,Infused Dark Beer Risotto,22.86,Indian&Mexican
106437,Simmered Butter Flatbread,22.51,Vitenamese
218659,Pistachio and Grapefruit Pie,24.31,American Chinese
132565,Almond and Cranberry Genoise,29.40,Korean
269918,Plum Cobbler,28.39,Japanese
392717,Chestnut Strudel,17.70,Mexican
984498,Fried Cucumber & Chicken,15.93,American
447895,Simmered Fennel Rabbit,19.70,Chinese
906822,Poached Light Ale Shrimps,12.50,Indian&Mexican
268408,Fried Blueberry Oysters,16.98,Vitenamese
804034,Baked Creamy Stracciatella,19.56,American Chinese
826276,Steamed Potatoes & Gratin,22.78,Korean
848971,Mango and White Chocolate Crispies,19.07,Japanese
485785,Chestnut and Mango Cobbler,11.79,Mexican
254640,Lime Soufflé,19.78,American
207898,Elderberry Pie,19.61,Chinese
164316,Roasted Salt & Pepper Boar,25.68,Indian&Mexican
685108,Oven-Baked Creamy Beef,13.46,Vitenamese
340085,Broasted Beets & Lemon Oysters,29.38,American Chinese
485858,Dried Vegetables & Salmon,17.91,Korean
372526,Blanched Chestnuts & Linguine,13.52,Japanese
432965,Poached Curry of Moussaka,23.93,Mexican
485002,Almond and Coffee Strudel,16.16,American
187996,Lime and Hazelnut Cookies,16.52,Chinese
169154,Melon Ice Lollies,18.95,Indian&Mexican
890432,Licorice Pavlova,13.28,Vitenamese
189832,Fire-Grilled Sweet & Fresh Ostrich,19.20,American Chinese
387492,Cooked Sour & Cream Yak,22.14,Korean
389033,Stir-Fried Confit of Fish,28.71,Japanese
693750,Breaded Fennel & Orange Herring,25.91,Mexican
872620,Engine-Cooked Truffles & Salad,20.21,American
490617,Barbecued Chestnuts & Forest Mushrooms,15.43,Chinese
807149,Saffron and Praline Cake,11.61,Indian&Mexican
831381,Blueberry and Mint Crumble,19.41,Vitenamese
573549,Cocoa Custard,28.05,American Chinese
512586,Cardamom Crumble,19.51,Korean
579935,Simmered Pasta & Quail,25.03,Japanese
571875,Dry-Roasted Salt & Savory Turkey,13.98,Mexican
991976,Poached Pepper & Garlic Crab,10.69,American
708540,Dried Vegetables & Shrimps,29.04,Chinese
662152,Simmered Onions & Tomato Chutney,13.57,Indian&Mexican
805069,Infused Garlic Winter Greens,11.31,Vitenamese
158944,Peach and Coconut Yogurt,17.64,American Chinese
446961,Apple and Hazelnut Pudding,17.57,Korean
454360,Caramel Candy,17.32,Japanese
699984,Ginger Toffee,26.80,Mexican
597207,Slow-Cooked Onions & Tomato Pheasant,12.66,American
259220,Dry-Roasted Soy Venison,13.96,Chinese
847916,Oven-Baked Mushroom & Rosemary Cod,29.16,Indian&Mexican
221263,Stewed Northern-Style Frog,26.49,Vitenamese
161782,Fire-Grilled Blueberry & Mushroom Minestrone,12.76,American Chinese
115302,Stir-Fried Pine Chutney,15.44,Korean
181063,Date and Grape Toffee,25.73,Japanese
343855,Grape and Red Wine Fudge,28.55,Mexican
798807,Vanilla Toffee,25.72,American
383862,Dark Chocolate Tart,20.40,Chinese
486971,Tenderized Basil & Lime Yak,24.22,Indian&Mexican
541867,Basted Garlic & Onion Horse,18.20,Vitenamese
295019,Smoked Peas & Mushroom Scallops,17.88,American Chinese
767366,Thermal-Cooked Lime & Ginger Prawns,23.84,Korean
859966,Grilled Creamy Bread,20.49,Japanese
304672,Fire-Roasted Oregano Rice,14.97,Mexican
246981,Nutmeg and Pineapple Doughnut,22.90,American
113174,Mandarin and Milk Chocolate Fudge,14.62,Chinese
757882,Strawberry Gingerbread,15.98,Indian&Mexican
165969,Cherry Soufflé,25.70,Vitenamese
396136,Sautéed Carrot & Coriander Venison,14.77,American Chinese
596828,Deep-Fried White Wine Pigeon,23.75,Korean
319840,Pressure-Fried Ginger Salmon,22.77,Japanese
148583,Tenderized Black Pepper Salmon,20.66,Mexican
314371,Barbecued Truffles & Spring Greens,10.35,American
556485,Brined Egg & Coconut Linguine,29.75,Chinese
140199,Pecan and Coffee Toast,22.36,Indian&Mexican
676295,Grape and Walnut Fruitcake,12.87,Vitenamese
584011,Peach Soufflé,16.67,American Chinese
963999,Papaya Delight,14.79,Korean
898843,Fire-Grilled Dark Beer Mammoth,24.04,Japanese
445753,Marinated Lime-Coated Ostrich,24.96,Mexican
248181,Pan-Fried Garlic & Rosemary Cockles,25.51,American
849013,Baked Oregano Prawns,29.72,Chinese
921497,Simmered Fennel & Lime Calzone,12.66,Indian&Mexican
422375,Oven-Grilled Hot & Sweet Forest Mushrooms,23.70,Vitenamese
878012,Walnut and Lemon Bread,17.65,American Chinese
819138,Cardamom and Mint Doughnut,26.51,Korean
683796,Pistachio Roll,11.81,Japanese
235155,Lemon Pie,25.47,Mexican
213615,Oven-Baked Peanuts & Boar,16.91,American
752170,Barbecued Salted Venison,29.28,Chinese
115937,Pan-Fried Mushroom & Rosemary Clams,22.35,Indian&Mexican
986872,Cured Cinnamon Mussels,23.41,Vitenamese
946875,Oven-Baked Garlic & Ginger Spring Vegetables,15.67,American Chinese
371545,Broasted Confit of Salad,24.88,Korean
571088,Honey and Strawberry Jam,15.04,Japanese
304378,Cherry and Pistachio Crispies,19.38,Mexican
707298,Date Whip,24.65,American
554562,Praline Ice Lollies,24.06,Chinese
393652,Breaded Egg & Beans Pheasant,15.14,Indian&Mexican
257384,Stir-Fried Stew of Beef,20.11,Vitenamese
481066,Fried Light Ale Crab,19.69,American Chinese
563563,Sautéed Saffron & Shallot Clams,13.29,Korean
689721,Pressure-Fried Forest Roll,27.40,Japanese
277071,Breaded White Wine Walnuts,28.64,Mexican
708716,White Wine and Hazelnut Gingerbread,16.54,American
765506,Hazelnut and Pineapple Fruit Salad,25.11,Chinese
550405,Cherry Molten Cake,11.07,Indian&Mexican
365291,Mint Surprise,28.99,Vitenamese
149114,Smoked Peach & Vinegar Turkey,23.54,American Chinese
853289,Grilled Basil & Clove Lamb,12.04,Korean
155330,Breaded Peppermint Salmon,26.20,Japanese
444529,Stir-Fried Sweet & Spicy Cockles,13.77,Mexican
543269,Stir-Fried Easter-Style Spring Vegetables,28.58,American
878080,Grilled Mushroom Potatoes,11.41,Chinese
755952,Apple and Coconut Crispies,14.65,Indian&Mexican
684285,Pecan and Cinnamon Pound Cake,20.31,Vitenamese
756156,Milk Chocolate Yogurt,23.77,American Chinese
517273,Avocado Wafer,10.12,Korean
473609,Pickled Honey & Thyme Beef,13.42,Japanese
163643,Thermal-Cooked Salt & Savory Rabbit,26.66,Mexican
745601,Stir-Fried Souther-Style Frog,11.20,American
536254,Breaded Fennel & Lemon Snapper,27.43,Chinese
396071,Infused Dark Beer Risotto,19.02,Indian&Mexican
358001,Simmered Butter Flatbread,14.71,Vitenamese
211311,Pistachio and Grapefruit Pie,25.87,American Chinese
944648,Almond and Cranberry Genoise,27.88,Korean
685239,Plum Cobbler,24.46,Japanese
847815,Chestnut Strudel,22.39,Mexican
316368,Fried Cucumber & Chicken,13.04,American
191693,Simmered Fennel Rabbit,22.47,Chinese
664603,Poached Light Ale Shrimps,13.80,Indian&Mexican
304809,Fried Blueberry Oysters,17.30,Vitenamese
716777,Baked Creamy Stracciatella,14.25,American Chinese
811432,Steamed Potatoes & Gratin,16.20,Korean
819599,Mango and White Chocolate Crispies,29.82,Japanese
645422,Chestnut and Mango Cobbler,28.86,Mexican
377161,Lime Soufflé,26.26,American
297665,Elderberry Pie,23.07,Chinese
933027,Roasted Salt & Pepper Boar,26.97,Indian&Mexican
285705,Oven-Baked Creamy Beef,14.93,Vitenamese
849575,Broasted Beets & Lemon Oysters,20.50,American Chinese
811759,Dried Vegetables & Salmon,29.35,Korean
684637,Blanched Chestnuts & Linguine,29.65,Japanese
985188,Poached Curry of Moussaka,21.72,Mexican
850726,Almond and Coffee Strudel,23.88,American
282775,Lime and Hazelnut Cookies,22.21,Chinese
723155,Melon Ice Lollies,28.13,Indian&Mexican
525982,Licorice Pavlova,11.67,Vitenamese
636819,Deep-Fried Watercress Chicken,27.14,American Chinese
186166,Braised Cheese & Mutton,22.51,Korean
432219,Deep-Fried Easter-Style Prawns,12.32,Japanese
470548,Shallow-Fried Sweet & Savory Crab,21.52,Mexican
895001,Basted Tomatoes & Vegetables,21.75,American
981893,Tenderized Sugar Vegetable Mix,26.23,Chinese
116816,Coconut and Pistachio Cone,18.11,Indian&Mexican
979977,White Wine and Guava Genoise,16.85,Vitenamese
500382,Plum Pie,16.76,American Chinese
725198,Coffee Gingerbread,11.25,Korean
519280,Simmered Pasta & Rabbit,24.77,Japanese
812997,Blanched Carrot & Coriander Quail,11.14,Mexican
511048,Breaded Figs & Olive Clams,29.53,American
103704,Stewed Olives & Mustard Prawns,19.89,Chinese
499423,Dry-Roasted Pasta & Walnuts,14.41,Indian&Mexican
667083,Poached Casserole of Pie,17.05,Vitenamese
823922,White Wine and Kiwi Gingerbread,15.71,American Chinese
212511,Raspberry and Cashew Surprise,28.60,Korean
629777,Blueberry Pud,16.48,Japanese
507780,Cherry Crispies,27.21,Mexican
705597,Braised Sweet & Savory Bear,21.01,American
512613,Braised Garlic Bear,18.13,Chinese
380909,Infused Vinegar Cockles,10.50,Indian&Mexican
151066,Tenderized Oregano Fish,24.94,Vitenamese
333195,Dried Lime Spring Vegetables,15.99,American Chinese
800008,Oven-Baked Carrots & Ginger Tofu,26.23,Korean
739717,Walnut and Orange Mooncake,21.84,Japanese
270916,Plum and Honey Strudel,25.91,Mexican
185048,Coffee Cookies,18.09,American
798907,Licorice Cheesecake,15.83,Chinese
392684,Slow-Cooked Garlic & Tomato Mammoth,25.98,Indian&Mexican
376375,Broasted Parsnip & Pear Pheasant,13.67,Vitenamese
354833,Roasted Basil & Cinnamon Scallops,20.31,American Chinese
867998,Marinated Mint & Berry Crocodile,19.42,Korean
275345,Poached Lime & Ginger Linguine,22.22,Japanese
380694,Tenderized Nuts & Linguine,23.77,Mexican
601106,Caramel and Guava Trifle,18.46,American
676970,Blueberry and White Chocolate Tart,16.66,Chinese
145821,Chestnut Toast,13.84,Indian&Mexican
713712,Pecan Cake,20.32,Vitenamese
937789,Engine-Cooked Easter-Style Pheasant,16.85,American Chinese
821838,Infused Vegetables & Duck,18.77,Korean
806632,Tenderized Salty & Sour Alligator,13.41,Japanese
255491,Stuffed Soy Mussels,12.82,Mexican
301462,Simmered Cinnamon & Thyme Vegetables,24.31,American
282830,Shallow-Fried Hot & Sweet Bake,26.37,Chinese
654285,Guava and Cranberry Gingerbread,23.63,Indian&Mexican
733721,Rum and Cherry Bonbons,19.50,Vitenamese
354992,Lemon Bonbons,12.01,American Chinese
674320,Pistachio Jam,15.87,Korean
515633,Blanched White Wine Beef,11.51,Japanese
438081,Fire-Roasted Blueberry Beef,10.70,Mexican
880794,Sautéed Egg & Coconut Clams,16.23,American
572158,Dried Dark Beer Lobster,26.73,Chinese
457982,Basted Fennel & Lime Bisque,22.61,Indian&Mexican
933844,Pan-Fried Jasmine Stuffed Bread,15.96,Vitenamese
217196,Milk Chocolate and Melon Pancakes,26.31,American Chinese
563970,Papaya and Pistachio Pound Cake,12.01,Korean
862760,White Chocolate Pud,13.78,Japanese
942596,Honey Toast,11.74,Mexican
238808,Pan-Fried Saffron Mammoth,13.44,American
991781,Marinated Basil & Clove Duck,16.18,Chinese
554166,Broasted Vinegar Mussels,12.63,Indian&Mexican
970108,Tea-Smoked Lime & Ginger Salmon,27.13,Vitenamese
203054,Sautéed Vanilla & Mint Salad,28.44,American Chinese
136456,Slow-Cooked Apricot & Basil Vegetable Mix,14.26,Korean
873797,Avocado and Red Wine Jelly,20.13,Japanese
391805,Caramel and Passion Fruit Steamed Pudding,10.66,Mexican
239312,Kiwi Strudel,12.51,American
195394,Peach Fruit Salad,12.83,Chinese
135265,Cooked Soy Venison,12.25,Indian&Mexican
481940,Oven-Grilled Peanuts & Pigeon,24.74,Vitenamese
698698,Stir-Fried Western-Style Frog,12.86,American Chinese
802255,Steamed Stew of Herring,22.46,Korean
234144,Stewed Mustard Potato Wedges,24.34,Japanese
175181,Thermal-Cooked Ginger Bread,13.17,Mexican
763189,Plum and Milk Chocolate Delight,24.39,American
138920,Walnut and Honey Tarte Tatin,28.65,Chinese
922958,Gooseberry Doughnut,13.85,Indian&Mexican
760583,Cinnamon Whip,11.31,Vitenamese
482635,Pressure-Fried Pine Mutton,24.28,American Chinese
168430,Shallow-Fried Sweet & Spicy Rabbit,27.85,Korean
378128,Gentle-Fried Potatoes & Clams,13.96,Japanese
693867,Slow-Cooked Peach & Vinegar Cod,11.26,Mexican
993642,Stir-Fried Mushroom & Rosemary Chutney,25.56,American
751336,Broasted Fennel & Lime Pasta,11.08,Chinese
971822,Blueberry and Mint Fruit Salad,18.13,Indian&Mexican
365509,Grape and Gooseberry Cookies,23.89,Vitenamese
475731,Cocoa Crispies,12.64,American Chinese
